key_								count_		count_wiki	count_multi	count_semi	count_single	
a								623		0		0		0		439		
a-oikeudet							1		0		0		0		1		
aatl:criteria							1		0		0		0		1		
aatl:inscription_date						1		0		0		0		1		
abandoned							14270		2		0		0		82		
abandoned:access						1		0		0		0		1		
abandoned:addr:city						5		0		0		0		3		
abandoned:addr:city:simc					1		0		0		0		1		
abandoned:addr:housenumber					51		0		0		0		36		
abandoned:addr:place						2		0		0		0		2		
abandoned:addr:postcode						5		0		0		0		3		
abandoned:addr:street						6		0		0		0		5		
abandoned:advertising						2		0		0		0		1		
abandoned:aerialway						228		0		0		0		4		
abandoned:aerialway:access					1		0		0		0		1		
abandoned:aerodrome						2		0		0		0		2		
abandoned:aerodrome:type					1		0		0		0		1		
abandoned:aeroway						215		0		0		0		10		
abandoned:airmark						7		0		0		0		1		
abandoned:alt_name						4		0		0		0		4		
abandoned:amenity						1730		2		0		2		98		
abandoned:artwork_type						6		0		0		0		3		
abandoned:atm							3		0		0		0		1		
abandoned:attraction						5		0		0		0		2		
abandoned:backrest						3		0		0		0		1		
abandoned:barrier						119		0		0		0		15		
abandoned:beacon:type						2		0		0		0		1		
abandoned:bicycle						1		0		0		0		1		
abandoned:board_type						9		0		0		0		6		
abandoned:border_control					1		0		0		0		1		
abandoned:brand							6		0		0		0		6		
abandoned:brewery						1		0		0		0		1		
abandoned:bridge						9		0		0		0		1		
abandoned:bridge:support					6		0		0		0		1		
abandoned:building						925		0		0		0		32		
abandoned:bunker_type						5		0		0		0		3		
abandoned:bus							4		0		0		0		1		
abandoned:camera:direction					1		0		0		0		1		
abandoned:camera:mount						1		0		0		0		1		
abandoned:camera:type						1		0		0		0		1		
abandoned:capacity						3		0		0		0		3		
abandoned:caravans						1		0		0		0		1		
abandoned:cargo							1		0		0		0		1		
abandoned:cargo:container					1		0		0		0		1		
abandoned:castle_type						1		0		0		0		1		
abandoned:cemetery						1		0		0		0		1		
abandoned:communication:television				1		0		0		0		1		
abandoned:compressed_air					1		0		0		0		1		
abandoned:contact:phone						1		0		0		0		1		
abandoned:contact:website					1		0		0		0		1		
abandoned:control						1		0		0		0		1		
abandoned:covered						3		0		0		0		2		
abandoned:craft							12		0		0		0		10		
abandoned:crossing						14		0		0		0		3		
abandoned:crossing:barrier					5		0		0		0		2		
abandoned:crossing:bell						2		0		0		0		1		
abandoned:crossing:chicane					1		0		0		0		1		
abandoned:crossing:light					2		0		0		0		1		
abandoned:crossing:saltire					2		0		0		0		2		
abandoned:crossing:supervision					1		0		0		0		1		
abandoned:cuisine						9		0		0		0		7		
abandoned:currency:eur						1		0		0		0		1		
abandoned:date							3		0		0		0		3		
abandoned:date:source						1		0		0		0		1		
abandoned:denomination						2		0		0		0		2		
abandoned:denotation						4		0		0		0		2		
abandoned:departures_board					1		0		0		0		1		
abandoned:depot:vehicle:tram					2		0		0		0		1		
abandoned:description						1		0		0		1		0		
abandoned:direction						1		0		0		0		1		
