key_										count_		count_wiki	count_multi	count_semi	count_single	
a										49		0		0		0		19		
aadt_2012									1		0		0		0		1		
aameccess									3		0		0		0		2		
aapalanrengas									2		0		0		0		2		
aatl:criteria									2		0		0		0		1		
ab										1		0		0		0		1		
abandined:railway								1		0		0		0		1		
abandoned									43108		2		0		0		224		
abandoned:									9		0		0		0		4		
abandoned:2005-2016								1		0		0		0		1		
abandoned:access								26		0		0		0		6		
abandoned:addr:housenumber							7		0		0		0		6		
abandoned:addr:postcode								1		0		0		0		1		
abandoned:addr:street								7		0		0		0		2		
abandoned:admin_level								1		0		0		0		1		
abandoned:aerialway								257		0		0		0		12		
abandoned:aerialway:capacity							1		0		0		0		1		
abandoned:aerialway:occupancy							2		0		0		0		1		
abandoned:aerodrome								3		0		0		0		3		
abandoned:aerodrome:type							1		0		0		0		1		
abandoned:aeroway								2155		0		0		1		18		
abandoned:airfield								2		0		0		0		1		
abandoned:alt_name								23		0		0		0		4		
abandoned:amenity								1670		2		0		2		95		
abandoned:apartments								12		0		0		0		1		
abandoned:area									5		0		0		0		1		
abandoned:area:aeroway								3		0		0		0		2		
abandoned:atm									2		0		0		0		1		
abandoned:attraction								22		0		0		0		8		
abandoned:axle_load								39		0		0		0		2		
abandoned:barbed_wire								1		0		0		0		1		
abandoned:barrier								369		0		0		0		14		
abandoned:bicycle								9		0		0		0		3		
abandoned:border_control							2		0		0		0		1		
abandoned:boundary								11		0		0		0		3		
abandoned:brand									10		0		0		1		6		
abandoned:brand:wikidata							1		0		0		0		1		
abandoned:brand:wikipedia							1		0		0		0		1		
abandoned:brewery								1		0		0		0		1		
abandoned:bridge								387		0		0		0		8		
abandoned:bridge:note								1		0		0		0		1		
abandoned:bridge:structure							2		0		0		0		2		
abandoned:bridge:support							9		0		0		0		2		
abandoned:building								124179		0		0		0		155		
abandoned:building:height							1		0		0		0		1		
abandoned:building:levels							28		0		0		0		3		
abandoned:building:material							3		0		0		0		2		
abandoned:building:use								4		0		0		0		4		
abandoned:building:use:residential						1		0		0		0		1		
abandoned:bunker								3		0		0		0		1		
abandoned:bunker_type								77		0		0		0		6		
abandoned:bus									3		0		0		0		1		
abandoned:cabins								1		0		0		0		1		
abandoned:cables								4		0		0		0		2		
abandoned:cafe									2		0		0		0		1		
abandoned:camp_site								2		0		0		0		2		
abandoned:canal									1		0		0		0		1		
abandoned:capacity								2		0		0		0		2		
abandoned:caravans								1		0		0		0		1		
abandoned:cemetery								2		0		0		0		2		
abandoned:city_served								1		0		0		0		1		
abandoned:climbing:sport							1		0		0		0		1		
abandoned:climbing:trad								1		0		0		0		1		
abandoned:club									1		0		0		0		1		
abandoned:community_centre							1		0		0		0		1		
abandoned:condition								1		0		0		0		1		
abandoned:construction								63		0		0		0		14		
abandoned:contact:email								1		0		0		0		1		
abandoned:contact:phone								2		0		0		0		2		
abandoned:contact:website							2		0		0		0		2		
abandoned:content								4		0		0		0		3		
abandoned:control								4		0		0		0		1		
abandoned:conveying								2		0		0		0		2		
abandoned:craft									18		0		0		0		9		
abandoned:crane:mobile								1		0		0		0		1		
abandoned:crop									9		0		0		0		1		
abandoned:crossing								1		0		0		0		1		
